,age,job,marital,education,balance,housing,duration,campaign,approval
570,46.0,2,1,3,242,1,332.0,2,0
571,50.0,6,1,1,1138,0,219.0,10,0
572,53.0,4,1,2,1319,1,427.0,1,0
573,81.0,5,1,1,1,0,65.0,5,0
574,35.0,7,0,1,67,1,192.0,2,0
575,58.0,5,1,3,937,0,155.0,1,0
576,44.0,7,1,1,0,1,161.0,1,0
577,38.0,4,1,2,-558,1,533.0,1,0
578,49.0,1,1,1,171,0,19.0,3,0
579,33.0,9,2,2,696,0,193.0,1,0
580,29.0,4,1,2,361,1,819.0,3,0
581,28.0,9,2,1,227,0,278.0,1,1
582,31.0,0,1,1,236,1,211.0,3,0
583,33.0,4,2,2,-53,0,617.0,2,0
584,52.0,9,1,1,192,1,61.0,2,0
585,43.0,4,0,2,38,1,197.0,6,0
586,32.0,6,2,1,518,1,34.0,7,0
587,36.0,6,1,2,16,1,95.0,4,0
588,41.0,1,1,1,-256,1,147.0,2,0
589,43.0,1,1,1,105,0,668.0,2,0
590,45.0,6,1,2,334,0,87.0,2,0
591,39.0,9,1,1,1048,0,405.0,1,0
592,41.0,7,1,1,108,1,83.0,7,0
593,31.0,9,1,1,660,0,115.0,1,0
594,37.0,10,2,2,0,1,108.0,1,0
595,28.0,2,1,3,1034,0,113.0,1,0
596,47.0,3,1,0,201,1,58.0,2,0
597,37.0,3,1,0,189,0,148.0,4,0
598,60.0,5,0,3,-49,1,188.0,1,0
599,43.0,9,0,1,1413,1,75.0,3,0
600,58.0,5,0,2,264,1,523.0,3,0
601,52.0,2,1,2,54,1,103.0,1,0
602,50.0,1,1,0,12519,1,146.0,2,0
603,32.0,7,2,1,2881,0,356.0,1,1
604,42.0,1,1,0,0,1,71.0,1,0
605,31.0,0,1,1,88,1,189.0,2,0
606,28.0,1,1,1,1020,1,251.0,1,0
607,36.0,9,0,2,119,0,127.0,8,0
608,51.0,10,2,2,1594,0,197.0,1,0
609,46.0,9,1,2,342,1,84.0,1,0
610,50.0,7,2,1,72,0,141.0,2,0
611,32.0,1,1,1,14,1,171.0,1,0
612,26.0,2,2,2,81,0,262.0,3,0
613,41.0,6,1,2,231,0,352.0,2,1
614,39.0,9,1,2,1161,1,236.0,1,0
615,31.0,1,1,1,-45,1,184.0,1,0
616,28.0,4,2,2,231,1,568.0,2,0
617,31.0,4,2,1,36,0,105.0,2,0
618,30.0,9,1,2,1570,1,260.0,1,0
619,35.0,9,1,2,7050,0,222.0,3,1
620,33.0,1,1,0,3704,1,447.0,2,0
621,30.0,9,2,2,6619,1,239.0,8,0
622,32.0,1,2,1,-84,1,426.0,1,0
623,40.0,4,2,2,1509,0,333.0,1,0
624,31.0,6,1,2,1134,0,174.0,2,0
625,36.0,9,1,1,146,1,284.0,2,0
626,33.0,4,2,2,9449,1,428.0,1,0
627,57.0,5,1,1,374,1,236.0,1,0
628,45.0,9,1,1,88,0,150.0,2,0
629,59.0,4,1,2,2764,0,237.0,1,0
630,30.0,4,2,2,2,1,1031.0,8,1
631,33.0,9,1,2,8023,0,107.0,1,0
632,52.0,1,1,1,289,1,45.0,13,0
633,83.0,5,1,1,0,0,140.0,10,0
634,58.0,6,0,2,1382,0,700.0,1,1
635,33.0,4,0,2,280,0,155.0,1,0
636,41.0,1,0,0,2195,1,211.0,5,0
637,31.0,6,1,1,33,0,165.0,4,0
638,35.0,1,0,1,275,0,144.0,5,0
639,27.0,4,2,2,703,1,590.0,3,1
640,57.0,0,0,3,887,0,43.0,8,0
641,56.0,11,1,3,0,0,471.0,2,0
642,53.0,0,2,1,1178,1,295.0,2,0
643,39.0,4,1,2,2763,1,526.0,2,1
644,32.0,2,2,2,890,1,27.0,10,0
645,46.0,6,1,1,548,0,1181.0,4,1
646,56.0,9,1,2,272,0,103.0,2,0
647,46.0,4,0,2,6269,1,249.0,3,0
648,29.0,2,1,1,178,1,231.0,4,0
649,60.0,4,1,0,252,1,123.0,2,0
650,33.0,3,2,2,23663,1,199.0,2,0
651,27.0,2,2,2,81,0,197.0,1,0
652,50.0,6,0,2,59,1,67.0,2,0
653,45.0,7,1,1,1343,0,220.0,1,0
654,58.0,5,1,1,225,0,122.0,6,0
655,59.0,5,1,0,0,1,104.0,7,0
656,58.0,5,0,0,2538,1,307.0,6,0
657,64.0,5,1,0,43,0,117.0,1,0
658,47.0,9,1,1,57,0,253.0,1,0
659,40.0,4,1,2,-117,1,770.0,2,0
660,36.0,9,0,1,666,1,190.0,1,0
661,28.0,4,2,2,0,1,767.0,5,1
662,38.0,9,2,2,25,1,232.0,2,1
663,53.0,2,1,0,1034,1,854.0,2,0
664,46.0,1,2,1,324,1,293.0,6,0
665,54.0,9,1,1,0,0,986.0,1,0
666,32.0,4,1,2,0,0,66.0,1,0
667,55.0,4,1,0,621,0,114.0,1,0
668,55.0,5,0,1,138,0,205.0,1,0
669,56.0,9,1,1,4063,0,31.0,4,0
670,40.0,1,1,1,11084,0,113.0,1,0
671,44.0,9,1,1,310,1,200.0,1,0
672,32.0,2,1,3,73,1,158.0,1,0
673,33.0,4,1,2,1808,1,99.0,4,0
674,41.0,10,0,1,1281,0,45.0,3,0
675,37.0,9,1,1,64,1,239.0,4,0
676,58.0,4,2,2,2,1,168.0,3,0
677,52.0,1,1,1,60,0,196.0,2,0
678,49.0,7,2,1,133,0,319.0,6,0
679,44.0,3,1,0,3706,0,209.0,3,0
680,28.0,0,2,3,174,0,184.0,1,0
681,31.0,9,1,1,251,0,156.0,2,0
682,37.0,6,1,1,4153,1,35.0,16,0
683,30.0,9,2,2,985,1,88.0,2,0
684,28.0,7,2,1,168,0,347.0,3,1
685,46.0,7,1,1,1550,1,126.0,2,0
686,47.0,4,1,2,7708,1,157.0,5,0
687,35.0,1,1,0,-12,1,212.0,5,0
688,80.0,4,1,0,6483,0,123.0,1,0
689,30.0,9,2,2,60,1,306.0,5,0
690,55.0,9,2,1,3339,1,63.0,1,0
691,22.0,8,2,2,1161,0,119.0,1,0
692,33.0,1,2,0,599,1,29.0,1,0
693,53.0,2,1,3,28,0,117.0,2,0
694,49.0,4,1,2,1430,0,231.0,2,0
695,51.0,5,1,1,35,0,123.0,4,0
696,41.0,6,1,2,6000,1,265.0,1,0
697,34.0,9,1,1,0,1,144.0,1,0
698,36.0,1,2,1,340,0,559.0,3,0
699,35.0,2,1,2,0,0,74.0,1,0
700,29.0,7,1,1,3,1,183.0,1,0
701,40.0,9,2,2,445,1,631.0,1,0
702,32.0,4,0,2,874,0,1282.0,6,1
703,48.0,1,1,1,705,0,108.0,2,0
704,59.0,5,1,3,1033,0,1199.0,1,1
705,35.0,6,0,2,1354,1,736.0,2,1
706,33.0,9,2,2,123,0,264.0,1,0
707,55.0,5,1,0,8894,0,262.0,1,0
708,41.0,1,1,1,429,1,244.0,1,0
709,42.0,3,1,0,14752,0,107.0,2,0
710,46.0,1,1,0,67,0,9.0,1,0
711,35.0,3,0,1,39,0,149.0,2,0
712,28.0,9,2,2,102,0,321.0,2,0
713,25.0,8,2,1,1790,0,224.0,1,0
714,56.0,4,2,2,15311,0,157.0,6,0
715,30.0,0,2,1,-635,0,250.0,1,0
716,45.0,1,1,1,115,0,209.0,4,0
717,40.0,4,1,2,10786,0,111.0,3,0
718,40.0,1,1,1,498,1,55.0,2,0
719,39.0,1,1,1,1045,1,290.0,13,0
720,48.0,2,1,2,810,0,383.0,1,0
721,31.0,9,2,2,-162,1,380.0,1,0
722,32.0,4,1,2,55,0,124.0,3,0
723,34.0,7,1,1,586,1,224.0,2,0
724,26.0,9,2,1,455,0,240.0,1,0
725,31.0,4,1,2,1010,1,385.0,3,0
726,37.0,4,2,2,509,1,133.0,1,0
727,29.0,8,2,3,2929,0,91.0,1,0
728,57.0,9,1,1,3071,1,63.0,3,0
729,47.0,4,2,2,153,1,192.0,2,0
730,38.0,6,2,1,1146,1,91.0,2,0
731,48.0,1,1,0,1092,0,79.0,1,0
732,50.0,4,1,2,3463,0,96.0,1,1
733,33.0,0,1,1,1158,1,25.0,2,0
734,28.0,0,2,1,26,1,227.0,2,0
735,30.0,7,2,1,566,0,110.0,1,0
736,52.0,9,0,1,204,0,134.0,2,0
737,36.0,9,1,1,480,0,213.0,1,1
738,36.0,9,2,1,1855,1,75.0,1,0
739,46.0,7,1,1,1034,0,109.0,2,0
740,57.0,4,1,2,3250,0,162.0,3,0
741,28.0,4,2,1,1633,0,275.0,1,1
742,46.0,7,1,1,0,1,154.0,1,0
743,55.0,5,1,0,3334,0,632.0,4,1
744,33.0,4,1,2,4020,1,251.0,1,0
745,53.0,4,1,1,66,0,141.0,1,0
746,41.0,9,2,1,-41,1,154.0,1,0
747,60.0,1,1,1,322,1,63.0,1,0
748,35.0,2,1,0,2643,0,259.0,1,0
749,43.0,1,0,0,49,1,100.0,1,0
750,57.0,0,0,0,1,0,17.0,10,0
751,46.0,0,1,1,3098,1,192.0,9,0
752,31.0,1,1,0,352,1,97.0,9,0
753,53.0,9,1,1,65,0,41.0,2,0
754,35.0,1,1,1,1949,1,200.0,3,0
755,32.0,0,2,1,739,1,91.0,3,0
756,48.0,4,1,2,1167,1,264.0,1,1
757,50.0,0,1,1,231,1,397.0,2,0
758,40.0,1,1,0,1136,1,86.0,1,0
759,42.0,2,1,2,233,0,446.0,1,0
760,59.0,0,1,1,817,0,304.0,1,0
761,27.0,1,2,0,1128,1,88.0,4,0
762,32.0,4,2,2,1831,1,86.0,2,0
763,35.0,9,2,1,450,1,63.0,1,0
764,28.0,7,1,1,0,1,335.0,2,0
765,37.0,4,0,1,414,0,293.0,2,0
766,57.0,4,1,0,1052,1,227.0,4,0
767,42.0,0,2,1,1022,1,146.0,2,0
768,55.0,0,1,0,343,1,276.0,3,0
769,52.0,4,1,2,1944,1,238.0,3,0
770,26.0,1,2,1,-32,1,14.0,6,0
771,52.0,9,1,1,1781,1,144.0,2,0
772,26.0,4,2,2,350,0,367.0,1,0
773,33.0,10,1,1,2,1,132.0,1,0
774,24.0,1,2,0,111,1,42.0,4,0
775,37.0,4,0,2,168,1,227.0,1,0
776,28.0,9,2,1,3,0,40.0,8,0
777,30.0,9,2,1,102,1,614.0,2,0
778,33.0,1,1,0,0,1,270.0,1,0
779,55.0,11,1,0,159,0,15.0,1,0
780,33.0,1,1,1,1134,1,304.0,2,0
781,42.0,1,1,1,352,1,79.0,3,0
782,37.0,4,1,2,865,1,101.0,1,0
783,59.0,1,1,0,179,1,55.0,3,0
784,27.0,1,2,1,5,1,205.0,3,0
785,23.0,8,1,2,-230,1,259.0,2,0
786,51.0,4,0,2,0,0,60.0,2,0
787,50.0,1,1,0,3924,1,122.0,2,0
788,43.0,9,1,1,764,1,557.0,5,0
789,37.0,1,0,0,511,1,42.0,1,0
790,34.0,4,2,2,4348,1,373.0,8,0
791,41.0,4,1,2,3016,1,80.0,3,0
792,26.0,8,2,1,279,0,239.0,3,0
793,49.0,4,0,2,1405,0,29.0,1,0
794,29.0,1,2,1,908,1,1663.0,1,1
795,30.0,4,2,2,162,1,186.0,4,0
796,38.0,7,0,1,792,0,430.0,1,0
797,58.0,4,1,1,111,0,58.0,2,0
798,34.0,8,2,3,1281,0,279.0,1,0
799,53.0,7,0,3,1012,1,332.0,2,0
800,50.0,4,1,2,2881,0,510.0,2,0
801,30.0,1,2,1,445,1,218.0,1,0
802,40.0,4,1,1,643,1,74.0,2,0
803,57.0,3,2,1,254,0,676.0,1,0
804,40.0,4,1,2,-1212,1,1259.0,2,0
805,41.0,9,1,1,2125,1,285.0,3,0
806,53.0,9,0,3,629,1,298.0,1,0
807,48.0,1,1,1,-202,1,225.0,4,0
808,32.0,9,2,1,271,1,80.0,2,0
809,34.0,4,1,2,703,1,342.0,1,1
810,46.0,1,1,1,-216,1,404.0,3,0
811,45.0,7,0,1,88,0,332.0,1,0
812,51.0,0,2,2,16,1,158.0,1,0
813,31.0,4,1,1,466,1,164.0,1,0
814,47.0,9,1,1,-75,1,57.0,1,0
815,32.0,1,1,1,456,0,121.0,1,0
816,41.0,9,1,1,77,1,56.0,1,0
817,37.0,7,2,1,-244,0,178.0,1,0
818,27.0,1,2,0,1209,0,283.0,1,0
819,27.0,7,1,1,58,1,113.0,1,0
820,50.0,4,1,1,421,0,22.0,5,0
821,31.0,4,2,2,112,1,159.0,2,0
822,40.0,6,1,2,13669,0,138.0,1,0
823,43.0,4,1,2,1429,1,1015.0,1,1
824,39.0,9,1,2,794,0,182.0,1,0
825,31.0,2,2,2,1957,0,112.0,3,0
826,48.0,9,1,1,454,1,114.0,1,0
827,32.0,1,2,0,882,0,80.0,8,0
828,47.0,10,1,0,168,1,66.0,1,0
829,35.0,4,2,2,714,1,135.0,22,0
830,42.0,4,2,2,0,0,99.0,1,0
831,47.0,1,1,1,1996,0,761.0,2,1
832,59.0,5,1,1,163,0,464.0,1,0
833,38.0,0,1,1,3190,1,20.0,2,0
834,50.0,10,1,1,1772,0,206.0,4,0
835,27.0,7,2,1,-151,0,283.0,2,0
836,55.0,3,1,0,16,0,64.0,1,0
837,39.0,7,2,1,7066,1,667.0,3,1
838,31.0,9,2,2,454,0,73.0,3,0
839,37.0,2,1,2,4798,1,156.0,2,0
840,28.0,9,2,1,-298,1,559.0,7,0
841,42.0,9,1,1,439,0,143.0,2,0
842,40.0,7,0,1,1927,1,62.0,1,0
843,59.0,4,2,1,671,1,219.0,2,0
844,40.0,7,2,1,65,1,15.0,3,0
845,43.0,9,1,1,-932,1,567.0,1,0
846,38.0,9,2,1,4366,1,188.0,2,0
847,54.0,5,1,0,0,1,159.0,2,0
848,41.0,1,1,1,4900,1,121.0,2,0
849,55.0,3,0,0,976,0,345.0,1,1
850,33.0,4,1,2,148,0,717.0,1,0
851,46.0,1,1,1,5,0,71.0,3,0
852,36.0,4,1,1,-148,0,1440000.0,2,0
853,48.0,9,0,2,113,0,38.0,1,0
854,42.0,4,1,1,-105,1,60.0,2,0
855,46.0,4,0,2,624,0,336.0,2,1
856,49.0,9,1,1,-1680,1,92.0,4,0
857,36.0,1,1,1,-461,0,254.0,2,0
858,34.0,9,2,2,144,1,104.0,1,0
859,51.0,2,0,2,4,1,74.0,5,0
860,58.0,1,1,0,309,0,156.0,2,0
861,48.0,4,1,2,866,0,146.0,2,0
862,41.0,0,2,1,1020,1,882.0,1,1
863,49.0,6,1,0,489,1,84.0,4,0
864,43.0,4,1,0,8167,1,114.0,2,0
865,32.0,1,2,1,-255,0,957.0,3,0
866,54.0,5,1,1,3671,0,67.0,3,0
867,33.0,1,0,0,636,1,211.0,11,0
868,35.0,9,1,1,141,1,299.0,2,0
869,56.0,9,1,1,150,1,102.0,6,0
870,57.0,9,1,1,839,0,225.0,1,0
871,31.0,3,2,0,26965,0,654.0,2,1
872,33.0,9,2,1,716,1,234.0,2,0
873,29.0,9,2,2,2485,0,48.0,6,0
874,38.0,4,2,2,15030,1,167.0,1,0
875,37.0,0,1,1,11303,0,500.0,2,0
876,33.0,2,1,2,595,0,22.0,2,0
877,30.0,4,2,2,19358,0,258.0,2,0
878,31.0,6,2,1,203,0,177.0,1,0
879,28.0,9,2,2,183,1,62.0,2,0
880,26.0,0,2,1,255,0,457008.0,1,1
881,31.0,9,2,1,102,1,460.0,2,0
882,50.0,3,0,0,94,1,184.0,4,0
883,45.0,2,1,0,58,1,119.0,3,0
884,48.0,4,1,0,606,0,77.0,6,0
885,41.0,9,1,1,0,0,107.0,1,0
886,60.0,9,1,0,65,1,1028.0,2,1
887,41.0,1,1,1,338,1,87.0,1,0
888,43.0,1,1,0,757,1,315.0,4,0
889,36.0,4,1,2,9269,1,107.0,2,0
890,40.0,1,1,0,1206,0,201.0,5,0
891,28.0,4,2,2,882,0,94.0,1,0
892,27.0,8,2,2,5291,0,192.0,2,1
893,49.0,4,2,1,61,1,185.0,2,0
894,37.0,9,1,2,0,1,77.0,1,0
895,31.0,1,1,1,1407,1,142.0,3,0
896,31.0,9,2,1,25,0,381.0,1,0
897,31.0,1,1,1,1354,1,222.0,2,0
898,35.0,1,1,0,793,1,106.0,1,0
899,51.0,1,0,3,10287,1,117.0,1,0
900,33.0,9,2,1,5235,0,67.0,3,0
901,30.0,9,2,2,3,1,45.0,2,0
902,58.0,9,2,1,409,0,643.0,2,0
903,34.0,0,1,2,35,1,76.0,1,0
904,45.0,4,1,2,-459,0,508.0,6,0
905,28.0,7,2,1,198,0,128.0,2,1
906,31.0,1,1,0,99,1,193.0,2,0
907,40.0,4,1,2,60,0,172.0,6,0
908,30.0,7,2,1,3485,0,142.0,2,0
909,34.0,2,1,1,-139,1,492.0,2,0
910,40.0,1,1,1,952,0,140.0,1,0
911,59.0,5,1,0,1427,0,140.0,2,0
912,43.0,9,2,2,1017,1,257.0,2,0
913,41.0,4,1,2,-29,0,41.0,2,0
914,33.0,9,0,1,9,0,91.0,2,0
915,33.0,4,1,1,4040,1,132.0,2,0
916,36.0,1,1,1,13,0,284.0,1,0
917,32.0,6,2,1,1259,0,184.0,2,0
918,25.0,0,1,1,18,1,225.0,1,0
919,25.0,1,1,1,-76,1,241.0,3,0
920,38.0,9,2,2,221,0,79.0,3,0
921,34.0,4,1,2,136,1,156.0,1,0
922,67.0,1,1,1,16353,0,223.0,2,0
923,32.0,1,1,1,-63,1,198.0,1,0
924,45.0,3,1,0,7353,0,536.0,2,0
925,33.0,1,1,0,511,1,304.0,2,0
926,38.0,0,1,0,3913,1,196.0,2,0
927,32.0,9,0,1,1097,1,298.0,2,0
928,54.0,5,0,2,6102,1,86.0,6,0
929,51.0,0,0,1,340,1,186.0,1,0
930,42.0,1,1,0,-119,1,167.0,3,0
931,41.0,0,1,1,2993,1,24.0,12,0
932,39.0,4,0,2,3575,0,74.0,3,0
933,38.0,1,1,1,361,1,601.0,1,0
934,39.0,4,1,1,1072,1,1168.0,2,0
935,46.0,1,1,0,2904,0,277.0,2,0
936,50.0,2,0,2,1790,0,748.0,3,0
937,33.0,1,1,1,86,1,364.0,1,0
938,37.0,9,1,1,1633,1,229.0,3,0
939,31.0,4,1,2,8312,0,43.0,13,0
940,34.0,1,0,3,172,0,177.0,1,1
941,34.0,4,1,2,0,1,262.0,1,1
942,36.0,4,1,2,222,1,317.0,1,0
943,40.0,9,1,1,109,0,402.0,22,0
944,40.0,1,1,1,1451,0,314.0,1,1
945,41.0,9,1,1,1066,0,109.0,3,1
946,52.0,4,1,2,3163,0,56.0,6,0
947,40.0,7,2,1,888,1,169.0,2,0
948,48.0,1,2,3,428,1,127.0,1,0
949,33.0,4,0,1,106,0,175.0,3,0
950,44.0,9,0,1,0,0,56.0,2,0
951,55.0,4,1,2,979,0,123.0,1,0
952,51.0,0,1,1,2662,0,148.0,2,0
953,34.0,4,2,2,84,0,231.0,1,0
954,58.0,5,0,3,5920,1,255.0,1,0
955,39.0,4,2,2,816,1,37.0,3,0
956,27.0,10,2,1,3276,0,106.0,1,0
957,55.0,4,0,3,2,1,95.0,1,0
958,35.0,9,2,1,-51,0,134.0,2,0
959,37.0,9,2,2,3315,1,820.0,2,0
960,52.0,9,1,1,196,1,116.0,1,0
961,41.0,1,1,1,552,1,463.0,1,0
962,52.0,0,1,1,2347,0,603.0,3,0
963,34.0,1,2,1,3723,1,47.0,5,0
964,53.0,4,0,0,255,0,126.0,1,0
965,33.0,4,2,2,3143,0,421.0,2,1
966,47.0,6,1,1,0,0,174.0,8,0
967,35.0,1,1,1,6411,1,144.0,1,0
968,33.0,4,2,2,1909,0,191.0,2,0
969,55.0,1,1,0,3873,0,222.0,1,0
970,58.0,6,1,0,1013,1,206.0,1,1
971,44.0,0,1,1,262,1,74.0,1,0
972,25.0,7,2,1,3217,1,24.0,1,0
973,37.0,9,2,1,5436,1,7.0,11,0
974,41.0,1,1,0,2067,1,493.0,7,0
975,34.0,1,2,1,215,0,350.0,3,1
976,36.0,7,0,1,1594,0,250.0,3,0
977,44.0,6,1,2,134,0,86.0,4,0
978,34.0,2,0,2,262,0,371.0,1,0
979,56.0,1,0,0,3021,0,419.0,2,0
980,43.0,4,0,2,388,1,2087.0,2,1
981,28.0,1,2,1,3412,1,22.0,4,0
982,54.0,1,1,1,1291,1,266.0,1,0
983,37.0,9,0,1,79,0,191.0,1,0
984,59.0,6,1,2,2013,0,222.0,4,1
985,58.0,1,0,1,543,0,264.0,3,0
986,56.0,4,0,2,1016,1,184.0,5,0
987,32.0,1,2,1,604,0,95.0,3,0
988,42.0,4,2,2,525,0,127.0,2,0
989,52.0,5,0,0,353,0,395.0,4,0
990,46.0,4,1,2,964,1,174.0,1,0
991,37.0,0,1,2,3913,1,124.0,1,1
992,39.0,1,1,0,879,1,102.0,2,0
993,31.0,0,1,1,314,1,279.0,1,0
994,59.0,3,1,0,0,0,76.0,11,0
995,38.0,1,1,1,1370,1,472.0,2,0
996,58.0,4,1,1,37,0,84.0,11,0
997,34.0,4,2,2,673,1,271.0,1,0
998,40.0,7,1,1,-342,1,754.0,1,0
999,20.0,8,2,1,291,0,172.0,5,0
1000,34.0,9,1,1,209,1,375.0,2,0
1001,31.0,9,2,2,438,1,130.0,2,0
1002,39.0,0,2,1,1242,1,303.0,3,0
1003,34.0,2,1,2,355,1,261.0,1,0
1004,24.0,1,1,1,204,1,229.0,3,0
1005,41.0,4,1,2,10758,1,288.0,1,0
1006,40.0,4,1,2,5,1,219.0,3,0
1007,45.0,9,2,1,410,1,891.0,4,1
1008,36.0,4,1,2,605,1,204.0,1,0
1009,53.0,4,1,2,4,0,19.0,6,0
1010,23.0,8,2,1,8494,0,158.0,2,0
1011,42.0,2,1,0,198,1,314.0,1,0
1012,48.0,1,1,1,841,1,215.0,1,0
1013,34.0,4,1,2,8,0,169.0,4,0
1014,36.0,0,1,1,470,1,101.0,4,0
1015,43.0,5,1,1,520,1,15.0,13,0
1016,36.0,1,1,1,439,1,260.0,5,0
1017,49.0,1,1,1,-454,1,558.0,1,1
1018,55.0,5,1,1,466,0,287.0,4,0
1019,53.0,5,1,1,665,1,371.0,2,1
1020,42.0,9,1,1,994,1,149.0,1,1
1021,45.0,0,1,1,5346,1,187.0,1,1
1022,31.0,1,1,1,1243,1,32.0,1,0
1023,32.0,0,1,2,0,1,138.0,1,0
1024,36.0,1,1,1,2357,1,228.0,2,0
1025,56.0,5,1,1,1044,0,353.0,2,1
1026,46.0,0,1,1,1069,1,45.0,2,0
1027,41.0,3,2,1,231,0,76.0,2,0
1028,31.0,0,1,1,0,1,144.0,2,0
1029,32.0,9,1,1,266,1,168.0,2,0
1030,38.0,4,1,2,-70,1,140.0,1,0
1031,49.0,5,2,0,25824,0,94.0,1,0
1032,46.0,4,2,0,538,0,118.0,3,0
1033,29.0,9,2,1,534,1,382.0,1,0
1034,36.0,0,1,3,2323,0,111.0,1,0
1035,38.0,0,1,1,1852,1,298.0,2,0
1036,53.0,9,1,1,2647,1,121.0,1,0
1037,43.0,4,1,2,2767,1,317.0,7,0
1038,41.0,4,1,2,176,1,42.0,1,0
1039,42.0,4,2,1,9720,0,81.0,2,0
1040,55.0,1,0,1,1613,1,296.0,1,1
1041,39.0,0,0,1,2903,1,259.0,2,0
1042,30.0,0,2,1,81,1,121.0,6,0
1043,41.0,1,1,1,780,1,432.0,3,0
1044,44.0,10,1,2,178,0,126.0,2,0
1045,58.0,4,1,2,299,0,120.0,4,0
1046,35.0,5,1,0,285,1,136.0,1,0
1047,27.0,1,1,1,872,1,1130.0,3,0
1048,34.0,7,1,1,1337,0,330.0,2,1
1049,25.0,7,1,1,72,1,305.0,2,0
1050,36.0,1,1,1,0,0,332.0,3,0
1051,38.0,1,1,1,-388,1,412.0,1,0
1052,30.0,0,1,1,11,1,157.0,1,0
1053,47.0,1,0,1,-535,1,71.0,2,0
1054,41.0,7,0,1,787,1,297.0,2,0
1055,36.0,4,2,2,3343,0,307.0,1,0
1056,63.0,2,1,1,3904,0,250.0,2,1
1057,23.0,4,2,2,736,1,119.0,1,0
1058,32.0,4,1,2,1390,0,116.0,2,0
1059,57.0,5,1,0,808,0,274.0,1,0
1060,48.0,4,1,2,1147,0,389.0,1,1
1061,49.0,7,1,1,1122,0,143.0,1,0
1062,50.0,9,1,1,-568,1,860.0,2,0
1063,33.0,1,1,0,1165,1,420.0,2,0
1064,53.0,7,0,1,-905,1,213.0,1,0
1065,30.0,10,1,2,0,1,756.0,1,0
1066,38.0,9,1,1,740,0,259.0,3,0
1067,44.0,4,1,1,8262,1,201.0,16,0
1068,39.0,0,2,1,14,1,19.0,9,0
1069,45.0,9,2,3,7108,1,53.0,1,0
1070,36.0,1,1,1,1049,1,224.0,4,1
1071,38.0,1,1,1,0,1,57.0,5,0
1072,36.0,3,1,1,419,1,251.0,1,0
1073,30.0,4,2,2,726,1,39.0,1,0
1074,28.0,9,0,2,594,1,54.0,3,0
1075,26.0,10,1,2,454,1,28.0,18,0
1076,54.0,11,1,1,2206,0,104.0,1,1
1077,38.0,0,1,2,1988,0,164.0,2,1
1078,32.0,9,2,2,0,0,268.0,2,0
1079,50.0,0,0,1,202,0,148.0,1,0
1080,43.0,1,1,1,667,1,228.0,3,0
1081,48.0,0,1,1,112,0,139.0,5,0
1082,57.0,3,1,0,50,0,89.0,3,0
1083,64.0,3,1,0,768,0,250.0,2,0
1084,26.0,7,0,1,74,1,106.0,6,0
1085,33.0,1,1,1,661,1,968.0,1,1
1086,50.0,6,1,1,3025,0,168.0,3,0
1087,47.0,6,1,2,751,0,408.0,14,0
1088,39.0,4,2,2,416,0,56.0,4,0
1089,52.0,7,1,0,14,0,55.0,5,0
1090,31.0,1,2,0,-502,1,76.0,4,0
1091,50.0,1,1,0,0,0,72.0,5,0
1092,47.0,9,1,1,599,1,99.0,3,0
1093,30.0,4,2,2,-218,1,13.0,15,0
1094,32.0,9,2,2,1012,0,178.0,1,0
1095,36.0,9,1,1,300,0,287.0,1,0
1096,46.0,9,1,2,217,1,141.0,1,0
1097,45.0,4,0,2,2096,0,127.0,1,0
1098,37.0,9,2,1,0,0,69.0,2,0
1099,58.0,3,1,0,5278,1,763.0,4,0
1100,59.0,4,1,2,1831,0,122.0,1,0
1101,28.0,4,1,2,1480,1,143.0,1,0
1102,48.0,4,1,2,7289,1,316.0,3,0
1103,55.0,1,1,3,1665,0,89.0,2,0
1104,37.0,1,2,0,851,1,151.0,1,0
1105,41.0,4,1,2,2885,0,40.0,1,0
1106,35.0,1,1,1,137,0,5.0,1,0
1107,34.0,1,2,1,1239,1,90.0,1,0
1108,43.0,4,2,2,146,0,50.0,1,0
1109,59.0,9,1,1,1,0,159.0,2,1
1110,50.0,1,0,0,-10,0,369.0,6,0
1111,37.0,9,1,1,480,0,344.0,2,1
1112,35.0,9,1,1,2789,1,256.0,2,0
1113,50.0,9,2,1,3897,0,298.0,1,0
1114,36.0,9,0,1,487,0,268.0,3,0
1115,41.0,0,1,1,5110,1,231.0,1,0
1116,28.0,4,1,2,318,1,4.0,4,0
1117,42.0,9,2,2,-411,1,78.0,5,0
1118,60.0,5,1,1,4820,0,419.0,1,0
1119,28.0,4,2,2,4937,1,421.0,3,0
1120,48.0,2,1,1,725,0,105.0,1,0
1121,51.0,2,1,2,5403,0,42.0,1,0
1122,32.0,9,1,2,4089,0,114.0,7,0
1123,35.0,9,1,2,188,0,286.0,2,0
1124,37.0,9,1,3,189,0,238.0,1,1
1125,38.0,1,0,1,2998,1,91.0,1,0
1126,77.0,5,1,1,610,0,766.0,3,0
1127,32.0,4,2,3,787,0,92.0,1,0
1128,43.0,9,0,1,167,0,211.0,3,0
1129,36.0,4,2,2,243,1,160.0,2,0
1130,29.0,4,1,2,877,0,166.0,3,0
1131,32.0,0,2,1,2817,1,195.0,1,0
1132,41.0,4,0,2,4567,1,106.0,1,0
1133,26.0,7,2,1,127,1,85.0,3,0
1134,34.0,1,1,0,176,0,78.0,1,0
